"Country Name","Country Code",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Colombia","COL",47844090709.99080,49175565911.06550,58418985443.31720,66446804802.57470,81703500846.03640,92507279383.03870,97160109277.80870,106659508271.25500,98443739941.16640,86186158684.76850,99886577330.72710,98211749595.54420,97963003804.78510,94641378693.22300,117081522349.67700,145180960625.02000,161189825603.13900,205706860699.30100,241710969502.89400,232494134119.68400,286103648654.54500,334454039093.58600,370574421703.06000,381866608838.80000,381112119657.44500,293481748240.77900,282825009887.45800,311789874617.09600,330227866233.32400
"Comoros","COM",429622147.74345,424108796.56298,457388578.92414,452881443.08416,319189200.35312,398461789.55869,396053797.63332,364445589.70237,370106776.04333,382454989.94531,350264287.68733,378180913.35576,423962976.72233,545658929.04459,632570092.20779,653584808.74557,697810988.05154,794621676.48768,911967428.71384,901711442.28594,907093130.31352,1021746833.42573,1015901205.42028,1115906341.77727,1148058015.47633,988150249.53369,1024261820.62810,1068124329.86257,1203080507.99878
"Cabo Verde","CPV",306891107.26204,319827058.59288,357160985.32741,490417389.68257,406580652.33054,487148993.53311,501979069.27468,490608657.92498,521910560.52487,592416703.05888,539227277.62641,563024383.29663,620974660.23030,813963830.17922,924318490.75980,971977088.15691,1107891063.43863,1513933983.22398,1789333748.67990,1711817181.52969,1664310769.55229,1864824080.69256,1751888561.72747,1850470042.43281,1859898513.26858,1596800287.16405,1662998677.88425,1771235958.20125,1986928611.73543
"Costa Rica","CRI",5711687786.75989,7168999670.28612,8528593420.84326,9537297723.43265,10432619325.61670,11513472785.72070,11618286652.04360,12552071488.01010,13617405297.06240,14195623342.76410,14949514493.42260,15913363440.50590,16504795592.92720,17196009811.16350,18528955524.51990,19948261084.34250,22602721765.36370,26743972911.91200,30612927861.22030,30562363429.76260,37268616183.97110,42262694503.96440,46473131798.89160,49745084869.71480,50577769785.07610,54775997555.61820,57157995872.68430,58174550211.55030,60126014828.59510
"Caribbean small states","CSS",17961665075.06920,17765164410.22020,17493258386.86980,18908613302.96450,19905802821.30960,21998219160.54120,24020648568.13650,28143635552.35090,30069769928.89920,31872310295.29780,34177854579.96790,35220883627.65940,36957890214.39750,39498913015.29750,43222083524.80260,48878881379.08780,54566092909.58230,60906457770.51690,69106766832.55710,58178987893.22160,63286770718.63360,68423468920.35750,70778783660.61030,71874614598.38010,72804605847.51100,71620269050.37830,67183921136.48260,69074812658.16430,72930271172.96420
"Cuba","CUB",28645436569.14890,24316556025.65850,22085858243.24320,22367254864.86490,28448326756.75680,30429803651.21920,25017368696.84550,25365908058.72050,25736331247.17860,28364615241.68940,30565400000.00000,31682400000.00000,33590500000.00000,35901200000.00000,38203000000.00000,42643836074.80000,52742800000.00000,58603900000.00000,60806300000.00000,62080000000.00000,64328000000.00000,68990000000.00000,73141000000.00000,77148000000.00000,80656000000.00000,87133000000.00000,91370000000.00000,96851000000.00000,
"Curacao","CUW",,,,,,,,,,,,,,,,,,,,,,3038699608.93855,3131096089.38548,3147616201.11732,3158406033.51955,3151910782.12290,3122287932.96089,3116610111.73184,
"Cayman Islands","CYM",,,,,,,,,,,,,,,,2315972638.90556,4227798075.03127,,,,,,,,,,,3570575151.26723,
"Cyprus","CYP",5591130217.66965,5770197348.48485,6912150456.32334,6590291048.29211,7425703928.57143,9933143596.37775,10011919698.87080,9547822120.86659,10248619909.50230,10497907227.61600,9985843543.82658,10397896174.86340,11420230769.23080,14547327293.31820,17320550000.00000,18433416241.76100,20072788859.61610,23968765398.30280,27839724622.82120,25942664629.06360,25562264900.66220,27426994717.82040,25041397918.54040,24084559214.02020,23364707443.27980,19680625485.19460,20453761061.94690,22141864998.87310,24469841831.91690
"Czech Republic","CZE",40477403219.51760,29675502269.56610,34590052812.16840,40614350197.23530,47554674590.93280,59775697061.03990,66985765439.19370,61792161168.00110,66490372105.12620,64867483193.13150,61649492816.52010,67523642262.40090,81910771993.91550,99627140274.38050,119162172468.26800,136280689891.22400,155463807112.88900,189227050759.59500,235718586901.12900,206179982164.40200,207477857918.91900,227948349666.35400,207376427020.81500,209402444996.10400,207818330723.83500,186829940545.75900,195090272402.72900,215913545038.43000,245225882903.37000
"Germany","DEU",1764967948916.60000,1861873895109.02000,2123130870381.97000,2068555542410.98000,2205966011811.50000,2591620035485.19000,2503665193657.40000,2218689375140.99000,2243225519617.65000,2199957383336.88000,1949953934033.54000,1950648769574.94000,2079136081309.99000,2505733634311.51000,2819245095604.67000,2861410272354.18000,3002446368084.31000,3439953462907.20000,3752365607148.09000,3418005001389.27000,3417094562648.95000,3757698281117.55000,3543983909148.01000,3752513503278.41000,3898726503841.35000,3381389338658.82000,3495162856297.22000,3693204332229.78000,3996759291057.81000
"Djibouti","DJI",452328087.28288,462421998.52578,478058304.87112,466048469.22986,491689220.74488,497723960.58991,494004647.73437,502675542.00123,514267869.30076,536080148.09730,551230861.85651,572417440.82016,591122039.60140,622044665.51505,666072101.77751,708633194.72657,768873684.03284,847918929.10798,999105339.26773,1049110684.72493,1128611700.36180,1239144501.77525,1353632941.52070,1324733711.82922,1455035088.74594,1633741922.68737,1764268468.93991,1844674434.50371,1965982321.62953
"Dominica","DMA",201428730.00000,219763222.22222,234058259.25926,245527592.59259,264375666.66667,274522148.14815,292286000.00000,302989185.18519,322409851.85185,331759000.00000,333468888.88889,340205074.07407,333195185.18519,343310666.66667,367199111.11111,364255074.07407,390250148.14815,421375851.85185,458190185.18519,489074333.33333,493824413.33333,501025303.33333,485997988.14815,501979134.44444,523540777.77778,540830670.00000,575468234.44445,496726248.51852,503646211.11111
"Denmark","DNK",138247285815.85500,139224688814.19500,152915654478.88500,143195627014.60500,156162386724.52300,185006881515.06500,187632346387.98400,173537647058.82400,176991934992.83700,177965188354.69200,164158739097.62300,164791442543.37500,178635163717.43100,218096033517.00900,251373002954.38200,264467336457.17000,282884947702.96600,319423424509.06600,353361038818.38300,321241303699.00600,321995279401.50200,344003137611.27100,327148943812.13700,343584391647.92700,352993631617.70800,302673068765.97200,311988119339.25100,329865553842.83300,352058410508.34500
"Dominican Republic","DOM",7073675544.80847,9734321854.02288,11356271335.97410,13081042400.00000,14664237666.66670,16598679279.06980,18241691857.35440,20017908829.32540,21672526562.78690,22137599986.10560,24305116729.18510,25599311449.38480,27362875602.50110,21642882856.42470,22692574473.34670,36119047252.17940,38116351526.28620,44169678153.15660,48288967303.48960,48376555305.69020,53982886258.22050,57811180659.45450,60657780260.67920,62661773591.72030,66065015410.04680,68802092020.94480,72342967648.33540,75931656814.65700,81298585403.30040
"Algeria","DZA",62045099642.77740,45715367087.10010,48003298223.11780,49946455210.96600,42542571305.51360,41764052457.88140,46941496779.84990,48177862501.94950,48187747528.89900,48640574566.64760,54790245600.58460,54744714396.16660,56760288973.67030,67863829880.48320,85324998813.60400,103198228458.58800,117027304746.54000,134977087734.00800,171000691877.71400,137211039898.19300,161207268655.39200,200019057307.65500,209058991952.12500,209755003250.66400,213810022462.42800,165979277276.90700,160129866569.93500,167555280113.18100,180689115940.68500
"East Asia & Pacific (excluding high income)","EAP",663000642568.43200,719536302323.75500,806316121169.28800,885206690566.41900,1064837415036.78000,1314277016763.93000,1509586757019.36000,1563626103583.53000,1433117403504.37000,1576440007410.56000,1735179356319.94000,1846141473735.73000,2043269950094.93000,2312730823199.69000,2682114087775.44000,3107074962859.57000,3742275137730.19000,4730897233723.89000,5987665443209.83000,6490710245020.34000,7868968060604.66000,9614771033908.29000,10721334546957.20000,11827780244502.10000,12714085026388.90000,13223362408545.50000,13457752355494.10000,14646215900250.90000,16279999801740.60000
